file_type,total_count,true_count
txt,7737,2935
toml,3974,1985
js,10412,1583
html,6230,1337
pem,835,814
py,1990,589
key,577,574
md,3931,561
json,8132,529
go,3189,458
No Extension,1747,338
java,3565,313
yml,1289,270
Rd,246,242
yaml,1617,233
php,1036,198
rb,2950,189
nix,8623,185
cs,2206,174
priv,135,135
R,135,132
c,267,95
ts,632,94
cpp,1193,88
xml,6429,83
mdx,147,72
map,652,70
sh,369,49
scala,477,45
cshtml,50,45
rst,80,43
move,45,31
ps1,56,30
patch,63,27
crt,27,27
sql,99,24
jsx,33,24
t,23,23
Rmd,22,22
properties,591,21
lock,2272,20
rs,46,19
conf,1484,18
swift,40,16
tsx,78,15
mvir,16,15
config,113,13
ipynb,179,12
coffee,22,12
m,153,11
eb,35,10
erb,35,10
vue,30,10
json5,16,10
gradle,56,9
pk8,9,9
ml,9,9
dm,9,9
dist,8,8
h,471,7
hpp,396,7
cc,65,7
rtp,7,7
Jenkinsfile,17,6
Dockerfile,6,6
cfg,33,5
env,31,5
insecure,5,5
groovy,210,4
kt,156,4
out,24,4
phps,4,4
psm1,4,4
diff,4,4
keyx,4,4
adoc,162,3
tags,33,3
cls,25,3
cjs,9,3
sec,3,3
doctest,3,3
htm,238,2
lua,174,2
mib,122,2
Gemfile,57,2
dart,55,2
sample,23,2
mako,6,2
pl,2,2
project,2,2
stone,2,2
tf,2,2
xhtml,2,2
npmrc,2,2
default,2,2
eco,2,2
io,2,2
j2,2,2
keyfile,2,2
log,60,1
bak,39,1
sls,29,1
hs,20,1
orig,11,1
Makefile,10,1
nuspec,7,1
mdpp,6,1
bat,4,1
plist,4,1
org,2,1
pm,2,1
as,2,1
q,1,1
prv,1,1
p8,1,1
mht,1,1
ubuntu,1,1
rej,1,1
local,1,1
3des,1,1
cms,1,1
der,1,1
des,1,1
git,1,1
hcl,1,1
id_rsa,1,1
psql,1269,0
sln,851,0
css,831,0
less,750,0
csv,749,0
xaml,669,0
po,659,0
pbxproj,316,0
hosts,131,0
resolved,119,0
spec,97,0
csproj,95,0
clj,69,0
edn,67,0
markdown,63,0
pqsql,63,0
scm,63,0
pgsql,62,0
symbolMap,60,0
snap,59,0
fasta,49,0
qbk,49,0
jsbundle,48,0
ChangeLog,47,0
link,44,0
my,42,0
swiftinterface,41,0
jsp,34,0
dyn,34,0
xsd,32,0
wxs,31,0
tsv,30,0
rss,30,0
index,30,0
bb,26,0
in,24,0
md5,23,0
cxx,23,0
asciidoc,22,0
MIB,21,0
pro,21,0
gpg,20,0
baseline,18,0
aip,18,0
Changelog,18,0
tex,17,0
symlink,17,0
glyphs,16,0
htaccess,16,0
launch,16,0
refactorlog,15,0
nlsprops,15,0
ini,15,0
bib,15,0
dbschema,15,0
dat,14,0
ddl,14,0
inv,13,0
pas,13,0
pdb,13,0
exports,12,0
atom,12,0
gltf,11,0
eml,10,0
inc,10,0
svg,10,0
hh,9,0
vjson,9,0
def,9,0
ctmpl,9,0
stdout,8,0
sml,8,0
sbt,8,0
qll,8,0
resx,8,0
data,8,0
aiis,7,0
idx,7,0
maven,7,0
wdl,7,0
yar,7,0
zig,7,0
bzl,7,0
targets,6,0
scss,6,0
pxi,6,0
proto,6,0
ldif,6,0
jhm,6,0
iml,6,0
architect,6,0
oss,5,0
glsl,5,0
fcfg,5,0
mk,4,0
xpm,4,0
wixproj,4,0
vdproj,4,0
vconf,4,0
rake,4,0
pgp,4,0
lock_backup,4,0
LICENSE,4,0
cu,4,0
erd,4,0
graphql,4,0
job,4,0
lang,3,0
tmpl,3,0
sc,3,0
replay,3,0
private,3,0
svn-base,3,0
jinja2,3,0
idl,3,0
gpd,3,0
daml,3,0
ignore,3,0
pyx,2,0
pdn,2,0
plantuml,2,0
pod,2,0
pxd,2,0
sam,2,0
raml,2,0
rptdesign,2,0
tm,2,0
twig,2,0
off,2,0
vcf,2,0
nex,2,0
gdnbaselines,2,0
ms,2,0
MD,2,0
chromium,2,0
elm,2,0
fsx,2,0
circleci,2,0
gitconfig,2,0
la,2,0
lsl,2,0
iat,2,0
mos,2,0
pdf,1,0
ql,1,0
pp,1,0
mod,1,0
mup,1,0
mm,1,0
rawresponse,1,0
rails4,1,0
rc,1,0
rdoc,1,0
rgs,1,0
settings,1,0
syms,1,0
thrift,1,0
tpl,1,0
m4,1,0
ui,1,0
vb,1,0
vm,1,0
xib,1,0
metal,1,0
ejs,1,0
kb,1,0
JSON,1,0
Rakefile,1,0
XML,1,0
ai,1,0
backup,1,0
bcsymbolmap,1,0
bnd,1,0
cache,1,0
cmake,1,0
com,1,0
cypher,1,0
dependencies,1,0
dmm,1,0
dtx,1,0
el,1,0
fsti,1,0
graffle,1,0
ioc,1,0
xno,1,0
