language,count
Shell,459
JavaScript,414
Python,312
Java,180
Ruby,172
C,128
Batch,124
C++,111
PHP,107
Go,88
TypeScript,81
C#,76
Objective-C,57
Perl,56
Kotlin,39
Lua,35
Swift,33
Scala,31
Groovy,24
CoffeeScript,23
Gherkin,22
GLSL,22
Objective-C++,22
Assembly,20
Vue,18
Hack,17
R,16
Starlark,16
TSQL,15
Haskell,14
Rust,13
Raku,11
Dart,10
Emacs Lisp,10
Clojure,8
NSIS,8
Awk,7
Cuda,7
GAP,7
Scheme,7
Smalltalk,7
Pascal,6
Apex,5
Blade,5
Elixir,5
F#,5
PostScript,5
Prolog,5
VBScript,5
